label,diff
Nov-24,0.041
Dec-24,-0.009
Jan-25,-0.002
Feb-25,0.004
Mar-25,0.017
Apr-25,0.004
May-25,0.022
Jun-25,-0.008
Jul-25,0.008
Aug-25,-0.008
Sep-25,0.011
