label,diff
Nov-24,-0.012
Dec-24,-0.058
Jan-25,0.035
Feb-25,-0.083
Mar-25,-0.011
Apr-25,-0.039
May-25,0.07
Jun-25,-0.005
Jul-25,-0.003
Aug-25,-0.022
Sep-25,-0.022
