label,diff,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,id_global
Jan-25,0.004,ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche\ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche,MENSUAL,3,25
Feb-25,-0.004,ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche\ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche,MENSUAL,4,26
Mar-25,0.023,ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche\ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche,MENSUAL,5,27
Apr-25,0.034,ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche\ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche,MENSUAL,6,28
May-25,0.015,ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche\ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche,MENSUAL,7,29
Jun-25,0.007,ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche\ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche,MENSUAL,8,30
Jul-25,0.012,ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche\ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche,MENSUAL,9,31
Aug-25,-0.028,ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche\ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche,MENSUAL,10,32
Sep-25,0.016,ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche\ee-chart Parque Aluche Diferencia mensual de NDVI.csv,Parque Aluche,MENSUAL,11,33
Nov-24,0.025,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,1,34
Dec-24,-0.044,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,2,35
Jan-25,-0.045,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,3,36
Feb-25,-0.052,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,4,37
Mar-25,0.029,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,5,38
Apr-25,0.013,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,6,39
May-25,0.027,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,7,40
Jun-25,0.038,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,8,41
Jul-25,-0.002,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,9,42
Aug-25,-0.041,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,10,43
Sep-25,-0.028,ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados\ee-chart Parque Aluche-Poblados Diferencia mensual NDVI.csv,Parque Aluche-Poblados,MENSUAL,11,44
Nov-24,0.005,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,1,45
Dec-24,-0.038,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,2,46
Jan-25,-0.037,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,3,47
Feb-25,-0.057,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,4,48
Mar-25,0.014,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,5,49
Apr-25,0.014,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,6,50
May-25,0.045,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,7,51
Jun-25,-0.049,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,8,52
Jul-25,-0.016,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,9,53
Aug-25,-0.054,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,10,54
Sep-25,-0.034,ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor\ee-chart Parque Ana Tutor Diferencia mensual NDVI.csv,Parque Ana Tutor,MENSUAL,11,55
Nov-24,0.005,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,1,56
Dec-24,-0.029,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,2,57
Jan-25,0.002,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,3,58
Feb-25,-0.015,ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación\ee-chart Parque Anunciación Diferencia mensual NDVI.csv,Parque Anunciación,MENSUAL,4,59
