system:time_start,0,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,id_global
"Aug 10, 2025",0.387,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,68,68
"Aug 13, 2025",0.418,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,69,69
"Aug 15, 2025",0.404,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,70,70
"Aug 20, 2025",0.466,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,71,71
"Aug 20, 2025",0.401,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,72,72
"Aug 23, 2025",0.42,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,73,73
"Aug 27, 2025",0.363,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,74,74
"Aug 28, 2025",0.446,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,75,75
"Aug 30, 2025",0.447,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,76,76
"Aug 30, 2025",0.436,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,77,77
"Sep 4, 2025",0.464,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,78,78
"Sep 9, 2025",0.451,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,79,79
"Sep 9, 2025",0.434,ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa\ee-chart Parque Alfredo Landa NDVI en el tiempo.csv,Parque Alfredo Landa,TIEMPO,80,80
