label,diff
Nov-24,0.05
Dec-24,-0.02
Jan-25,-0.007
Feb-25,-0.005
Mar-25,0.018
Apr-25,-0.017
May-25,0.034
Jun-25,-0.008
Jul-25,0.036
Aug-25,-0.015
Sep-25,-0.005
